Noah 163,657 | Emma 177,410
Liam 152,994 | Sophia 166,986
Jacob 152,020 | Olivia 165,581
Mason 146,079 | Isabella 156,709
William 145,893| Ava 140,979
Ethan 137,512 | Mia 116,301
Michael 134,043 | Abigail 109,253
Alexander 130,477 | Emily 109,149
James 126,060 | Madison 91,914
Elijah 123,151 | Charlotte 89,043
Daniel 122,962 | Elizabeth 85,832
Benjamin 121,134 | Amelia 80,666
Aiden 119,935 | Chloe 78,693
Jayden 117,779 | Ella 77,581
Logan 116,013 | Evelyn 76,389
Matthew 115,486 | Avery 75,438
David 107,325 | Sofia 74,881
Joseph 106,125 | Harper 74,538
Lucas 105,956 | Grace 66,726
Jackson 105,784 | Addison 66,383
Anthony 104,144 | Victoria 64,475
Joshua 99,254 | Natalie 63,199
Samuel 98,448 | Lily 62,684
Andrew 97,948 | Aubrey 61,201
Gabriel 97,485 | Lillian 59,682
Christopher 94,815 | Zoey 59,065
John 93,634 | Hannah 58,680
Dylan 88,619 | Layla 56,533
Carter 86,328 | Brooklyn 55,854
Isaac 86,078 | Samantha 53,470
Ryan 84,706 | Zoe 52,883
Luke 84,664 | Leah 51,114
Oliver 83,971 | Scarlett 51,090
Nathan 81,762 | Riley 50,330
Henry 81,660 | Camila 49,983
Owen 81,619 | Savannah 47,535
Caleb 80,104 | Anna 47,282
Wyatt 78,727 | Audrey 47,071
Christian 78,153 | Allison 45,492
Sebastian 76,623 | Aria 45,029
Jack 76,156 | Gabriella 44,507
Jonathan 74,171 | Hailey 44,171
Landon 73,667 | Claire 43,535
Julian 70,907 | Sarah 43,154
Isaiah 69,727 | Aaliyah 42,897
Hunter 69,268 | Kaylee 41,958
Levi 68,602 | Nevaeh 41,654
Aaron 64,773 | Penelope 40,789
Eli 64,124 | Alexa 39,952
Charles 63,434 | Arianna 39,168
Thomas 63,171 | Stella 39,138
Connor 63,004 | Alexis 38,953
Brayden 62,163 | Bella 38,610
Nicholas 62,006 | Nora 38,071
Jaxon 61,684 | Ellie 37,718
Jeremiah 61,423 | Ariana 37,561
Cameron 60,800 | Lucy 37,471
Evan 60,700 | Mila 36,694
Adrian 60,084 | Peyton 36,679
Jordan 59,896 | Genesis 36,400
Gavin 59,231 | Alyssa 36,154
